Set,Name,Theme,Year,Parts,Store,Cost,Discount
43186-1,Bruni the Salamander Buildable Character,Disney,2021,96,"Steinchenwelt(BrickOwl, DE)","CFA6,665Avg: CFA7,663",13%
41157-1,Rapunzel's Travelling Caravan,Disney Princess,2018,323,"eBay US(eBay, US)","CFA23,205Avg: CFA26,679",13%
30112-1,Emma's Flower Stand,Friends,2014,35,"Venusia Bricks(BrickOwl, BE)","CFA3,280Avg: CFA3,771",13%
10955-1,Animal Train,Duplo,2021,15,"Steinchenwelt(BrickOwl, DE)","CFA10,246Avg: CFA11,779",13%
40262-1,Christmas Train Ride,Seasonal,2017,169,"Venusia Bricks(BrickOwl, BE)","CFA7,865Avg: CFA9,040",13%
41424-1,Jungle Rescue Base,Friends,2020,657,"Steinchenwelt(BrickOwl, DE)","CFA42,231Avg: CFA48,529",13%
71737-1,X-1 Ninja Charger,Ninjago,2021,599,"Steinchenwelt(BrickOwl, DE)","CFA26,402Avg: CFA30,336",13%
75291-1,Death Star Final Duel,Star Wars,2020,774,"Steinchenwelt(BrickOwl, DE)","CFA54,523Avg: CFA62,638",13%
60243-1,Police Helicopter Chase,Town,2020,209,"eBay US(eBay, US)","CFA16,163Avg: CFA18,567",13%
75240-1,Major Vonreg’s TIE Fighter,Star Wars,2019,496,"Amazon US(Amazon, US)","CFA35,170List: CFA37,771Avg: CFA43,389",13%
21170-1,The Pig House,Minecraft,2021,490,"Amazon US(Amazon, US)","CFA26,956Avg: CFA30,964",13%
75240-1,Major Vonreg’s TIE Fighter,Star Wars,2019,496,"eBay US(eBay, US)","CFA37,776Avg: CFA43,389",13%
79116-1,Big Rig Snow Getaway,Teenage Mutant Ninja Turtles,2014,743,"Everythingandthelegokitchensink(BrickOwl, US)","CFA48,030Avg: CFA55,160",13%
75192-1,UCS Millennium Falcon,Star Wars,2017,7541,"Dutch To Go Bricks(BrickLink, NL)","CFA422,735Avg: CFA485,303",13%
11011-1,Bricks and Animals,Classic,2020,1500,"Amazon US(Amazon, US)","CFA30,194List: CFA33,448Avg: CFA38,394",13%
41902-1,Sparkly Unicorn,DOTS,2020,33,"3_BRICKS(BrickOwl, SI)","CFA4,366Avg: CFA5,011",13%
60288-1,Race Buggy Transporter,Town,2021,210,"Steinchenwelt(BrickOwl, DE)","CFA9,938Avg: CFA11,406",13%
41587-1,Robin,Brickheadz,2017,101,"We-Like-It Bricks(BrickOwl, US)","CFA9,714Avg: CFA11,148",13%
41912-1,Love Birds,DOTS,2020,33,"3_BRICKS(BrickOwl, SI)","CFA4,366Avg: CFA5,010",13%
40412-1,Hagrid & Buckbeak,Brickheadz,2020,270,"Bionicle Universe(BrickLink, NL)","CFA24,948Avg: CFA28,625",13%
31058-1,Mighty Dinosaurs,Creator,2017,174,"Steinchenwelt(BrickOwl, DE)","CFA7,452Avg: CFA8,549",13%
21152-1,The Pirate Ship Adventure,Minecraft,2019,386,"BRICKSHOP Holland ✔(BrickLink, NL)","CFA25,496Avg: CFA29,248",13%
70687-1,Spinjitzu Burst Lloyd,Ninjago,2020,48,"Steinchenwelt(BrickOwl, DE)","CFA5,202Avg: CFA5,967",13%
76139-1,1989 Batmobile,Super Heroes DC,2019,3310,"Amazon US(Amazon, US)","CFA134,888Avg: CFA154,731",13%
30407-1,Harry's Journey to Hogwarts,Harry Potter,2018,40,"A brick per day e.U.(BrickOwl, AT)","CFA4,585Avg: CFA5,259",13%
40416-1,Ice Skating Rink,Seasonal,2020,304,"shop-bricks(BrickOwl, DE)","CFA16,366Avg: CFA18,768",13%
60219-1,Construction Loader,Town,2019,88,"We-Like-It Bricks(BrickOwl, US)","CFA5,828Avg: CFA6,683",13%
71234-1,Sensei Wu Fun Pack,Dimensions,2016,58,"NewTown_Brickworks(BrickOwl, US)","CFA9,444Avg: CFA10,827",13%
75300-1,Imperial TIE Fighter,Star Wars,2021,432,"Lucky-Bricks(BrickLink, DE)","CFA22,946Avg: CFA26,298",13%
30524-1,The Mini Batwing,Super Heroes DC,2017,80,"TimsBrickHouse(BrickOwl, US)","CFA3,092Avg: CFA3,544",13%
471701-1,Lloyd,Ninjago,2017,6,"Brick Takeover(BrickOwl, DE)","CFA2,159Avg: CFA2,474",13%
70435-1,Newbury Abandoned Prison,Hidden Side,2020,400,"Amazon US(Amazon, US)","CFA21,581Avg: CFA24,730",13%
43191-1,Ariel's Celebration Boat,Disney Princess,2021,115,"Steinchenwelt(BrickOwl, DE)","CFA15,369Avg: CFA17,610",13%
2000451-1,The Panama Canal,Educational and Dacta,2016,1184,"The Brickening(BrickOwl, DK)","CFA242,846Avg: CFA278,241",13%
10274-1,ECTO-1,Ghostbusters,2020,2352,"TechnicMK(BrickLink, PL)","CFA116,077Avg: CFA132,990",13%
75223-1,Naboo Starfighter Microfighter,Star Wars,2019,62,"A brick per day e.U.(BrickOwl, AT)","CFA5,801Avg: CFA6,646",13%
41917-1,Magic Forest,DOTS,2020,33,"Amazon US(Amazon, US)","CFA2,693Avg: CFA3,085",13%
71026-1,Mister Miracle,Collectible Minifigures,2020,10,"3_BRICKS(BrickOwl, SI)","CFA3,747Avg: CFA4,292",13%
30548-1,Build Your Own Birds,Creator,2020,26,"ubertoys.eu(BrickOwl, BE)","CFA2,273Avg: CFA2,603",13%
41485-1,Finn,Brickheadz,2017,91,"TimsBrickHouse(BrickOwl, US)","CFA12,466Avg: CFA14,277",13%
40299-1,Kessel Mine Worker,Star Wars,2018,22,"A brick per day e.U.(BrickOwl, AT)","CFA6,816Avg: CFA7,805",13%
43180-1,Belle's Castle Winter Celebration,Disney Princess,2020,238,"Steinchenwelt(BrickOwl, DE)","CFA26,770Avg: CFA30,640",13%
75253-1,Droid Commander,Star Wars,2019,1184,"steinwerk24_com(BrickOwl, DE)","CFA98,361Avg: CFA112,582",13%
10910-1,Submarine Adventure,Duplo,2019,24,"Steinchenwelt(BrickOwl, DE)","CFA10,246Avg: CFA11,726",13%
30549-1,Build Your Own Vehicles,Creator,2020,59,"Brickfest(BrickOwl, DE)","CFA2,716Avg: CFA3,109",13%
76172-1,Spider-Man and Sandman Showdown,Super Heroes Marvel,2021,45,"Amazon US(Amazon, US)","CFA5,391Avg: CFA6,170",13%
5002126-1,Martian Manhunter,Super Heroes DC,2014,4,"Hoosier Brick and Toy LLC(BrickOwl, US)","CFA6,989Avg: CFA7,997",13%
5004406-1,First Order General,Star Wars,2016,4,"BrickMint(BrickOwl, AU)","CFA3,420Avg: CFA3,912",13%
76162-1,Black Widow's Helicopter Chase,Super Heroes Marvel,2020,271,"Steinchenwelt(BrickOwl, DE)","CFA15,854Avg: CFA18,137",13%
75810-1,The Upside Down,Stranger Things,2019,2287,"BRICKSTAR BELGIUM(BrickLink, BE)","CFA113,943Avg: CFA130,313",13%
30385-1,Super Mushroom Surprise Expansion Set,Super Mario,2020,18,"We-Like-It Bricks(BrickOwl, US)","CFA4,317Avg: CFA4,937",13%
31112-1,Wild Lion,Creator,2021,224,"Steinchenwelt(BrickOwl, DE)","CFA7,596Avg: CFA8,687",13%
71043-1,Hogwarts Castle,Harry Potter,2018,6020," Funny_bricks(BrickLink, HK)","CFA222,719Avg: CFA254,640",13%
10245-1,Santa’s Workshop,Seasonal,2014,884,"BrickALeg(BrickOwl, MY)","CFA154,504Avg: CFA176,619",13%
42125-1,"Ferrari 488 GTE ""AF Corse #51""",Technic,2021,1677,"LEGO US(LEGO, US)","CFA91,737Avg: CFA104,833",12%
10943-1,Happy Childhood Moments,Duplo,2021,231,"Amazon US(Amazon, US)","CFA53,960Avg: CFA61,656",12%
10805-1,Around the World,Duplo,2016,163,"A brick per day e.U.(BrickOwl, AT)","CFA67,949Avg: CFA77,631",12%
71720-1,Fire Stone Mech,Ninjago,2020,977," Amazon US(Amazon, US)","CFA33,113List: CFA37,771Avg: CFA43,143",12%
60283-1,Holiday Camper Van,Town,2021,190,"Steinchenwelt(BrickOwl, DE)","CFA9,938Avg: CFA11,350",12%
5002943-1,Winter Soldier,Super Heroes Marvel,2015,4,"TimsBrickHouse(BrickOwl, US)","CFA9,277Avg: CFA10,594",12%
75278-1,D-O,Star Wars,2020,519,"Amazon US(Amazon, US)","CFA31,273List: CFA37,771Avg: CFA43,128",12%
41253-1,Lonesome Flats Raft Adventure,Trolls: World Tour,2020,170,"Steinchenwelt(BrickOwl, DE)","CFA15,618Avg: CFA17,834",12%
42123-1,McLaren Senna GTR,Technic,2021,830,"Steinchenwelt(BrickOwl, DE)","CFA26,770Avg: CFA30,566",12%
41429-1,Heartlake City Airplane,Friends,2020,573,"Steinchenwelt(BrickOwl, DE)","CFA36,957Avg: CFA42,188",12%
30609-1,Lloyd,Ninjago,2017,6,"Timby's Cellar(BrickOwl, BE)","CFA3,280Avg: CFA3,744",12%
42038-1,Arctic Truck,Technic,2015,913,"lanzarote(BrickLink, ES)","CFA61,713Avg: CFA70,435",12%
30528-1,Mini Master-Building MetalBeard,The LEGO Movie,2019,42,"Brick Takeover(BrickOwl, DE)","CFA2,492Avg: CFA2,844",12%
41999-1,4 x 4 Crawler Exclusive Edition,Technic,2013,1584,"Personal Bricks(BrickOwl, MY)","CFA267,158Avg: CFA304,881",12%
75823-1,Bird Island Egg Heist,Angry Birds,2016,281,"eBay US(eBay, US)","CFA19,827Avg: CFA22,625",12%
40161-1,What Am I?,LEGO Brand Store,2016,536,"eBay US(eBay, US)","CFA24,274Avg: CFA27,696",12%
10932-1,Wrecking Ball Demolition,Duplo,2020,56,"Steinchenwelt(BrickOwl, DE)","CFA31,683Avg: CFA36,138",12%
41396-1,Puppy Playground,Friends,2020,57,"Amazon US(Amazon, US)","CFA2,693List: CFA5,391Avg: CFA6,148",12%
71369-1,Bowser's Castle Boss Battle Expansion Set,Super Mario,2020,1010,"Amazon US(Amazon, US)","CFA53,939Avg: CFA61,507",12%
10941-1,Mickey & Minnie Birthday Train,Duplo,2021,22,"Steinchenwelt(BrickOwl, DE)","CFA15,454Avg: CFA17,620",12%
912059-1,Elite Praetorian Guard,Star Wars,2020,7,"Stellar Bricks(BrickOwl, ES)","CFA2,335Avg: CFA2,662",12%
60284-1,Roadwork Truck,Town,2021,58,"Amazon US(Amazon, US)","CFA5,391Avg: CFA6,146",12%
75257-1,Millennium Falcon,Star Wars,2019,1348,"PRO_BRO_BRICKS(BrickOwl, RU)","CFA89,547Avg: CFA102,009",12%
76173-1,Spider-Man and Ghost Rider vs. Carnage,Super Heroes Marvel,2021,221,"Amazon US(Amazon, US)","CFA10,788Avg: CFA12,289",12%
71383-1,Wiggler’s Poison Swamp Expansion Set,Super Mario,2021,374,"Amazon US(Amazon, US)","CFA21,559Avg: CFA24,558",12%
853651-1,The Batman Movie Accessory Set,Super Heroes DC,2017,31,"TimsBrickHouse(BrickOwl, US)","CFA8,300Avg: CFA9,453",12%
10922-1,Ariel's Undersea Castle,Duplo,2020,35,"Steinchenwelt(BrickOwl, DE)","CFA15,618Avg: CFA17,787",12%
30244-1,Anakin's Jedi Intercepter,Star Wars,2014,45,"Pleasure Bricks(BrickOwl, GB)","CFA3,622Avg: CFA4,125",12%
30189-1,Transport Plane,Creator,2014,49,"Gizmocom(BrickLink, UK)","CFA2,278Avg: CFA2,594",12%
30189-1,Transport Plane,Creator,2014,49,"123 build(BrickLink, UK)","CFA2,278Avg: CFA2,594",12%
30189-1,Transport Plane,Creator,2014,49,"Mitchell Collectables(BrickLink, UK)","CFA2,278Avg: CFA2,594",12%
30361-1,Fire ATV,Town,2019,39,"ubertoys.eu(BrickOwl, BE)","CFA2,203Avg: CFA2,508",12%
561905-1,Andrea's Waffle Booth,Friends,2019,29,"Badeloch's Bricks(BrickOwl, NL)","CFA1,148Avg: CFA1,307",12%
30372-1,Robin's Mini Fortrex,Nexo Knights,2016,45,"shop-bricks(BrickOwl, DE)","CFA2,853Avg: CFA3,249",12%
42047-1,Police Interceptor,Technic,2016,185,"1brick4all(BrickOwl, IT)","CFA19,023Avg: CFA21,651",12%
8804-1,Lawn Gnome,Collectible Minifigures,2011,8,"Personal Bricks(BrickOwl, MY)","CFA5,343Avg: CFA6,081",12%
76141-1,Thanos Mech,Super Heroes Marvel,2020,152,"Steinchenwelt(BrickOwl, DE)","CFA5,044Avg: CFA5,739",12%
70421-1,El Fuego's Stunt Truck,Hidden Side,2019,428,"Amazon US(Amazon, US)","CFA21,721Avg: CFA24,712",12%
31089-1,Sunset Track Racer,Creator,2019,221,"Steinchenwelt(BrickOwl, DE)","CFA9,938Avg: CFA11,302",12%
43188-1,Aurora's Forest Cottage,Disney Princess,2020,300,"Steinchenwelt(BrickOwl, DE)","CFA21,115Avg: CFA24,013",12%
42122-1,Jeep Wrangler,Technic,2021,665,"Steinchenwelt(BrickOwl, DE)","CFA26,770Avg: CFA30,442",12%
10930-1,Bulldozer,Duplo,2020,10,"Amazon US(Amazon, US)","CFA5,391Avg: CFA6,130",12%
1841-1,Plane,Universal Building Set,1999,15,"Everythingandthelegokitchensink(BrickOwl, US)","CFA1,889Avg: CFA2,148",12%
76166-1,Avengers Tower Battle,Super Heroes Marvel,2020,712,"Amazon US(Amazon, US)","CFA48,564Avg: CFA55,220",12%
71365-1,Piranha Plant Power Slide Expansion Set,Super Mario,2020,217,"Steinchenwelt(BrickOwl, DE)","CFA15,369Avg: CFA17,474",12%
75936-1,Jurassic Park: T.rex Rampage,Jurassic World,2019,3120,"Amazon US(Amazon, US)","CFA134,888Avg: CFA153,286",12%
71706-1,Cole's Speeder Car,Ninjago,2020,52,"Amazon US(Amazon, US)","CFA5,283Avg: CFA6,004",12%
10894-1,Toy Story Train,Duplo,2019,21,"Steinchenwelt(BrickOwl, DE)","CFA10,246Avg: CFA11,642",12%
60108-1,Fire Response Unit,Town,2016,257,"eBay US(eBay, US)","CFA19,422Avg: CFA22,066",12%
75942-1,Velociraptor: Biplane Rescue Mission​,Jurassic World,2020,101,"Steinchenwelt(BrickOwl, DE)","CFA15,369Avg: CFA17,461",12%
43180-1,Belle's Castle Winter Celebration,Disney Princess,2020,238,"Amazon US(Amazon, US)","CFA21,041List: CFA26,978Avg: CFA30,640",12%
21159-1,The Pillager Outpost,Minecraft,2020,303,"Amazon US(Amazon, US)","CFA12,946List: CFA16,184Avg: CFA18,378",12%
76899-1,Lamborghini Urus ST-X & Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,666,"Steinchenwelt(BrickOwl, DE)","CFA31,683Avg: CFA35,972",12%
30106-1,Ice Cream Stand,Friends,2013,34,"Pleasure Bricks(BrickOwl, GB)","CFA3,043Avg: CFA3,455",12%
7070-1,Catapult Raft,4 Juniors,2004,23,"We-Like-It Bricks(BrickOwl, US)"," CFA3,886Avg: CFA4,411",12%
11013-1,Creative Transparent Bricks,Classic,2021,500,"Steinchenbrueder(BrickLink, DE)","CFA16,546Avg: CFA18,783",12%
30556-1,Mini Frame,DOTS,2020,85,"A brick per day e.U.(BrickOwl, AT)","CFA2,983Avg: CFA3,386",12%
40417-1,Year of the Ox,Seasonal,2021,168,"Venusia Bricks(BrickOwl, BE)","CFA6,560Avg: CFA7,445",12%
41519-1,Glurt,Mixels,2014,62,"Personal Bricks(BrickOwl, MY)","CFA6,679Avg: CFA7,578",12%
853651-1,The Batman Movie Accessory Set,Super Heroes DC,2017,31,"Everythingandthelegokitchensink(BrickOwl, US)","CFA8,332Avg: CFA9,453",12%
43192-1,Cinderella’s Royal Carriage,Disney Princess,2021,237,"Steinchenwelt(BrickOwl, DE)","CFA21,115Avg: CFA23,953",12%
30355-1,Jungle ATV,Town,2017,36,"Bricks Space(BrickOwl, IT)","CFA2,493Avg: CFA2,828",12%
30373-1,Knighton Hyper Cannon,Nexo Knights,2016,47,"Pleasure Bricks (BrickOwl, GB)","CFA3,043Avg: CFA3,451",12%
41909-1,Mermaid Vibes,DOTS,2021,34,"Steinchenwelt(BrickOwl, DE)","CFA3,477Avg: CFA3,942",12%
41428-1,Beach House,Friends,2020,444,"Amazon US(Amazon, US)","CFA24,279List: CFA26,978Avg: CFA30,583",12%
75278-1,D-O,Star Wars,2020,519,"Steinchenwelt(BrickOwl, DE)","CFA38,046Avg: CFA43,128",12%
70420-1,Graveyard Mystery,Hidden Side,2019,335,"eBay US(eBay, US)","CFA16,184Avg: CFA18,345",12%
70420-1,Graveyard Mystery,Hidden Side,2019,335," Amazon US(Amazon, US)","CFA16,184Avg: CFA18,345",12%
40144-1,Bricktober Toys R Us Store,Modular Buildings,2015,165,"1brick4all(BrickOwl, IT)","CFA19,023Avg: CFA21,560",12%
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"Brick Takeover(BrickOwl, DE)","CFA3,824Avg: CFA4,332",12%
6211-1,Imperial Star Destroyer,Star Wars,2006,1389,"The People Person(BrickLink, US)","CFA215,836Avg: CFA244,537",12%
70422-1,Shrimp Shack Attack,Hidden Side,2019,579,"Steinchenwelt(BrickOwl, DE)","CFA26,409Avg: CFA29,915",12%
41391-1,Heartlake City Hair Salon,Friends,2020,235,"Steinchenwelt(BrickOwl, DE)","CFA10,403Avg: CFA11,785",12%
31058-1,Mighty Dinosaurs,Creator,2017,174,"Whit’s Bricks(BrickOwl, US)","CFA7,550Avg: CFA8,549",12%
10295-1,Porsche 911 Turbo & 911 Targa,Creator,2021,0,"A brick per day e.U.(BrickOwl, AT)","CFA87,669Avg: CFA99,257",12%
31200-1,The Sith,LEGO Art,2020,3404,"Amazon US(Amazon, US)","CFA64,732Avg: CFA73,270",12%
7772-1,Lobster Strike,Aquazone,2007,224,"Set Shop Boy(BrickOwl, DE)","CFA22,958Avg: CFA25,980",12%
60258-1,Tuning Workshop,Town,2020,897,"Amazon US(Amazon, US)","CFA53,421Avg: CFA60,449",12%
42115-1,Lamborghini Sián FKP 37,Technic,2020,3696,"brickstore.at(BrickLink, AT)","CFA187,110Avg: CFA211,723",12%
70422-1,Shrimp Shack Attack,Hidden Side,2019,579,"eBay US(eBay, US)","CFA26,443Avg: CFA29,915",12%
561801-1,Wishing Well with Andrea's Little Bird,Friends,2018,21,"United Parts(BrickOwl, GB)","CFA2,173Avg: CFA2,459",12%
75286-1,General Grievous’s Starfighter,Star Wars,2020,487,"Amazon US(Amazon, US)","CFA42,093Avg: CFA47,615",12%
5005358-1,Minifigure Factory,Promotional,2018,85,"Brick Door(BrickOwl, US)","CFA10,793Avg: CFA12,209",12%
71719-1,Zane's Mino Creature,Ninjago,2020,617,"Amazon US(Amazon, US)","CFA21,586List: CFA26,978Avg: CFA30,516",12%
211904-1,The Flash,Super Heroes DC,2019,6,"Badeloch's Bricks(BrickOwl, NL)","CFA2,624Avg: CFA2,968",12%
75935-1,Baryonyx Face-Off: The Treasure Hunt,Jurassic World,2019,434,"Amazon US(Amazon, US)","CFA25,898List: CFA32,374Avg: CFA36,610",12%
30279-1,Kylo Ren's Command Shuttle,Star Wars,2016,43,"Everythingandthelegokitchensink(BrickOwl, US)","CFA3,233Avg: CFA3,655",12%
30279-1,Kylo Ren's Command Shuttle,Star Wars,2016,43,"Whit’s Bricks(BrickOwl, US)","CFA3,233Avg: CFA3,655",12%
70830-1,Sweet Mayhem's Systar Starship!,The LEGO Movie,2019,502,"Falconer(BrickLink, US)","CFA37,231Avg: CFA42,094",12%
70820-1,Movie Maker,The LEGO Movie,2019,482,"Amazon US(Amazon, US)","CFA23,740List: CFA26,978Avg: CFA30,493",12%
70820-1,Movie Maker,The LEGO Movie,2019,482,"Everything StarWars & More(BrickLink, US)","CFA26,978Avg: CFA30,493",12%
70820-1,Movie Maker,The LEGO Movie,2019,482,"briansbricks.com(BrickLink, US)","CFA26,978Avg: CFA30,493",12%
11002-1,Basic Brick Set,Classic,2019,300,"Amazon US(Amazon, US)","CFA8,629List: CFA10,788Avg: CFA12,193",12%
60232-1,Garage Center,Town,2019,234,"eBay US(eBay, US)","CFA24,285Avg: CFA27,446",12%
40300-1,Han Solo Mudtrooper,Star Wars,2018,22,"PikkaBrikka(BrickOwl, CZ)","CFA7,607Avg: CFA8,597",12%
75270-1,Obi-Wan's Hut,Star Wars,2020,200,"Amazon US(Amazon, US)","CFA16,163Avg: CFA18,265",12%
43189-1,Elsa and the Nokk Storybook Adventures,Disney,2021,125,"Steinchenwelt(BrickOwl, DE)","CFA10,246Avg: CFA11,579",12%
41919-1,Power,DOTS,2020,33,"Steinchenwelt(BrickOwl, DE)","CFA2,886Avg: CFA3,261",12%
41999-1,4 x 4 Crawler Exclusive Edition,Technic,2013,1584,"Gill Brick Store(BrickLink, US)","CFA269,818Avg: CFA304,881",12%
41999-1,4 x 4 Crawler Exclusive Edition,Technic,2013,1584,"Starbeanie's Bricks(BrickLink, US)","CFA269,824Avg: CFA304,881",11%
8083-1,Rebel Trooper Battle Pack,Star Wars,2010,79,"We-Like-It Bricks(BrickOwl, US)","CFA12,142Avg: CFA13,718",11%
31101-1,Monster Truck,Creator,2020,163,"Steinchenwelt(BrickOwl, DE)","CFA7,452Avg: CFA8,418",11%
10914-1,Deluxe Brick Box,Duplo,2020,85,"Amazon US(Amazon, US)","CFA21,581List: CFA26,978Avg: CFA30,476",11%
30341-1,Monkie Kid's Delivery Bike,Monkie Kid,2020,22,"Brick Takeover(BrickOwl, DE)","CFA6,702Avg: CFA7,570",11%
31202-1,Disney's Mickey Mouse,LEGO Art,2021,2658,"Amazon US(Amazon, US)","CFA64,732Avg: CFA73,114",11%
10267-1,Gingerbread House,Seasonal,2019,1477,"Amazon US(Amazon, US)","CFA66,821Avg: CFA75,471",11%
80103-1,Dragon Boat Race,Chinese Traditional Festivals,2019,645,"Hollie's Bricks(BrickOwl, GB)","CFA39,639 Avg: CFA44,770",11%
41366-1,Olivia's Cupcake Cafe,Friends,2019,335,"Amazon US(Amazon, US)","CFA16,152 Avg: CFA18,237",11%
21046-1,Empire State Building,Architecture,2019,1767,"eBay IT(eBay, IT)","CFA55,100Avg: CFA62,211",11%
8865-1,Test Car,Technic,1988,898,"Set Shop Boy(BrickOwl, DE)","CFA327,323Avg: CFA369,551",11%
21117-1,The Ender Dragon,Minecraft,2014,636,"We-Like-It Bricks(BrickOwl, US)","CFA97,139Avg: CFA109,670",11%
10731-1,Cruz Ramirez Race Simulator,Juniors,2017,59,"3_BRICKS(BrickOwl, SI)","CFA8,074 Avg: CFA9,113",11%
76166-1,Avengers Tower Battle,Super Heroes Marvel,2020,712,"Steinchenwelt(BrickOwl, DE)","CFA48,921Avg: CFA55,220",11%
4000019-1,Brand Identity and Experience,LEGO Exclusive,2014,103,"BrickBaron(BrickOwl, DK)","CFA88,206Avg: CFA99,556",11%
40413-1,Mini Robots,Mindstorms,2020,366,"A brick per day e.U.(BrickOwl, AT)","CFA13,301Avg: CFA15,013",11%
850779-1,Minifigure Accessory Set,Legends of Chima,2013,42,"1brick4all(BrickOwl, IT)","CFA8,527Avg: CFA9,625",11%
1913-1,Building Set B: Boat,Universal Building Set,1983,27,"Cob's Cheap Brick House(BrickOwl, US)","CFA1,290Avg: CFA1,456",11%
75270-1,Obi-Wan's Hut,Star Wars,2020,200,"eBay US(eBay, US)","CFA16,184Avg: CFA18,265",11%
75270-1,Obi-Wan's Hut,Star Wars,2020,200,"LEGO US(LEGO, US)","CFA16,184Avg: CFA18,265",11%
75948-1,Hogwarts Clock Tower,Harry Potter,2019,926,"Steinchenwelt(BrickOwl, DE)","CFA48,921Avg: CFA55,210",11%
70107-1,Skunk Attack,Legends of Chima,2013,97,"Brick Door(BrickOwl, US)","CFA4,857Avg: CFA5,480",11%
30321-1,Duck,Duplo,2016,4,"Pleasure Bricks(BrickOwl, GB)","CFA2,661Avg: CFA3,002",11%
71026-1,Mister Miracle,Collectible Minifigures,2020,10,"Pleasure Bricks(BrickOwl, GB)","CFA3,805Avg: CFA4,292",11%
21037-1,LEGO House,Architecture,2017,774,"historic sealed sets(BrickLink, DE)","CFA76,814Avg: CFA86,638",11%
70686-1,Spinjitzu Burst Kai,Ninjago,2020,48,"Amazon US(Amazon, US)","CFA5,343Avg: CFA6,026",11%
70142-1,Eris' Fire Eagle Flyer,Legends of Chima,2014,330,"TimsBrickHouse(BrickOwl, US)","CFA23,178Avg: CFA26,141",11%
75892-1,McLaren Senna,Speed Champions,2019,222,"tweedehandse stenen(BrickLink, NL)","CFA8,857Avg: CFA9,987",11%
30303-1,The Joker Bumper Car,Super Heroes DC,2015,47,"Pleasure Bricks(BrickOwl, GB)","CFA3,432Avg: CFA3,870",11%
10713-1,Creative Suitcase,Classic,2018,213,"Steinchenwelt(BrickOwl, DE)","CFA10,082Avg: CFA11,366",11%
41924-1,Secret Holder,DOTS,2021,453,"Steinchenwelt(BrickOwl, DE)","CFA10,266Avg: CFA11,573",11%
31200-1,The Sith,LEGO Art,2020,3404,"RUBRICK by majonas(BrickLink, DE)","CFA64,996Avg: CFA73,270",11%
31200-1,The Sith,LEGO Art,2020,3404,"Best In Sets(BrickLink, BE)","CFA64,996Avg: CFA73,270",11%
21154-1,The Blaze Bridge,Minecraft,2019,372,"Steinchenwelt(BrickOwl, DE)","CFA21,115Avg: CFA23,803",11%
30464-1,El Fuego's Stunt Cannon,Hidden Side,2020,46,"A brick per day e.U.(BrickOwl, AT)","CFA2,983Avg: CFA3,363",11%
30341-1,Monkie Kid's Delivery Bike,Monkie Kid,2020,22,"A brick per day e.U.(BrickOwl, AT)","CFA6,718Avg: CFA7,570",11%
10926-1,Bedroom,Duplo,2020,16,"Steinchenwelt(BrickOwl, DE)","CFA7,681Avg: CFA8,656",11%
30411-1,Chocolate Box & Flower,Friends,2020,75," Brickfest(BrickOwl, DE)","CFA2,352Avg: CFA2,651",11%
71374-1,Nintendo Entertainment System,Super Mario,2020,2646,"Brick Takeover(BrickOwl, DE)","CFA136,934Avg: CFA154,292",11%
42009-1,Mobile Crane MK II,Technic,2013,2607,"Glen's House Of Bricks(BrickLink, US)","CFA186,695Avg: CFA210,358",11%
30554-1,Cinderella Mini Castle,Disney Princess,2020,43,"PikkaBrikka(BrickOwl, CZ)","CFA3,525Avg: CFA3,971",11%
30573-1,Santa,Seasonal,2019,67,"A brick per day e.U.(BrickOwl, AT)","CFA2,470Avg: CFA2,783",11%
41613-1,Mr. Incredible & Frozone,Brickheadz,2018,160,"A brick per day e.U.(BrickOwl, AT)","CFA21,199Avg: CFA23,881",11%
8365-1,Tuneable Racer,Racers,2003,196,"Set Shop Boy(BrickOwl, DE)","CFA45,884Avg: CFA51,688",11%
41366-1,Olivia's Cupcake Cafe,Friends,2019,335,"Millere's Spares™(BrickLink, US)","CFA16,190Avg: CFA18,237",11%
42118-1,Monster Jam Grave Digger,Technic,2021,212,"Mattoncini Prato(BrickLink, IT)","CFA10,763Avg: CFA12,122",11%
42118-1,Monster Jam Grave Digger,Technic,2021,212,"SILeGLOstore(BrickLink, IT)","CFA10,763Avg: CFA12,122",11%
10924-1,Lightning McQueen's Race Day,Duplo,2020,42,"Steinchenwelt(BrickOwl, DE)","CFA15,618Avg: CFA17,591",11%
951907-1,Police Buggy,Town,2019,31,"Brick Takeover(BrickOwl, DE)","CFA1,970Avg: CFA2,219",11%
70903-1,The Riddler Riddle Racer,Super Heroes DC,2017,254,"eBay US(eBay, US)","CFA18,861Avg: CFA21,239",11%
75292-1,The Mandalorian Bounty Hunter Transport,Star Wars,2020,1023,"Discover Bricks(BrickLink, ES)","CFA91,907Avg: CFA103,485",11%
75292-1,The Mandalorian Bounty Hunter Transport,Star Wars,2020,1023,"DuBricks Sets & Parts(BrickLink, NL)","CFA91,907Avg: CFA103,485",11%
30264-1,Frax' Phoenix Flyer,Legends of Chima,2014,32,"We-Like-It Bricks(BrickOwl, US)","CFA2,914Avg: CFA3,281",11%
42110-1,Land Rover Defender,Technic,2019,2571,"Figs'n'bricks - NO FEES !!(BrickLink, DK)","CFA88,283Avg: CFA99,370",11%
